SiteId,Lon,Lat,x,y
58570,122.3,29.95,33668950,7676239
58571,122.2589,29.8706,33664373,7682846
58572,122.4503,29.9358,33685690,7677421
58574,122.0211,29.6289,33637888,7702940
58599,124.9,29.066667,33958528,7749566
58631,118.5,28.9,33245722,7763358
58632,118.6,28.7167,33256859,7778510
58633,118.9,29.0,33290272,7755085
58642,119.8,28.8833,33390510,7764739
58643,120.0333,28.9,33416494,7763358
58644,119.2833,28.6,33332963,7788148
58645,119.4872,28.4553,33355672,7800089
58646,119.9297,28.4614,33404956,7799586
58647,119.1325,28.0806,33316167,7830965
58648,119.635,27.9919,33372133,7838264
58652,120.7167,28.8667,33492609,7766112
58653,120.9219,28.8097,33515463,7770824
58654,120.0833,28.6667,33422063,7782640
58656,120.9667,28.0667,33520453,7832109
58657,120.2833,28.15,33444338,7825251
58658,120.6833,28.15,33488889,7825251
58659,120.65,28.0333,33485180,7834858
58660,121.2,28.8667,33546437,7766112
58661,121.5108,28.6625,33581052,7782987
58662,121.7067,29.0136,33602871,7753959
58663,121.9147,28.7186,33626037,7778353
58664,121.3667,28.3667,33565003,7807396
58665,121.4167,28.6181,33570572,7786654
58666,121.9,28.45,33624400,7800527
58667,121.2667,28.0833,33553866,7830743
58668,121.52,28.0958,33582077,7829714
58669,121.6244,28.2658,33593705,7815713
58696,124.9,28.516666999999998,33958528,7795026
58742,119.5642,28.1069,33364248,7828800
58745,119.0792,27.6211,33310231,7868737
58746,119.7,27.55,33379373,7874573
58750,120.0833,27.7833,33422063,7855415
58751,120.5667,27.6667,33475902,7864993
58752,120.65,27.7833,33485180,7855415
58753,120.7667,27.8,33498178,7854043
58755,120.3875,27.495,33455944,7879085
58758,120.4833,27.1667,33466614,7905993
58760,121.15,27.8333,33540868,7851306
58761,121.2333,28.0,33550146,7837598
58762,121.0833,27.7833,33533439,7855415
58763,121.1,28.1833,33535299,7822509
58764,121.0889,27.4597,33534063,7881981
58765,121.2,27.6333,33546437,7867735
